Km_PYK_h_c,P559
Km_PYK_pep_c,P560
Km_PYK_pyr_c,P561
Keq_PYK,P562
kcat_PYRt2r,P563
E_PYRt2r,P564
Km_PYRt2r_h_c,P565
Km_PYRt2r_h_e,P566
Km_PYRt2r_pyr_c,P567
Km_PYRt2r_pyr_e,P568
Keq_PYRt2r,P569
kcat_RPE,P570
E_RPE,P571
Km_RPE_ru5p__D_c,P572
Km_RPE_xu5p__D_c,P573
Keq_RPE,P574
kcat_RPI,P575
E_RPI,P576
Km_RPI_r5p_c,P577
Km_RPI_ru5p__D_c,P578
Keq_RPI,P579
kcat_SUCCt2_2,P580
E_SUCCt2_2,P581
Km_SUCCt2_2_h_c,P582
Km_SUCCt2_2_h_e,P583
Km_SUCCt2_2_succ_c,P584
Km_SUCCt2_2_succ_e,P585
Keq_SUCCt2_2,P586
kcat_SUCCt3,P587
E_SUCCt3,P588
Km_SUCCt3_h_c,P589
Km_SUCCt3_h_e,P590
Km_SUCCt3_succ_c,P591
Km_SUCCt3_succ_e,P592
Keq_SUCCt3,P593
kcat_SUCDi,P594
E_SUCDi,P595
Km_SUCDi_fum_c,P596
Km_SUCDi_q8_c,P597
Km_SUCDi_q8h2_c,P598
Km_SUCDi_succ_c,P599
Keq_SUCDi,P600
kcat_SUCOAS,P601
E_SUCOAS,P602
Km_SUCOAS_adp_c,P603
Km_SUCOAS_atp_c,P604
Km_SUCOAS_coa_c,P605
Km_SUCOAS_pi_c,P606
Km_SUCOAS_succ_c,P607
Km_SUCOAS_succoa_c,P608
Keq_SUCOAS,P609
kcat_TALA,P610
E_TALA,P611
Km_TALA_e4p_c,P612
Km_TALA_f6p_c,P613
Km_TALA_g3p_c,P614
Km_TALA_s7p_c,P615
Keq_TALA,P616
kcat_THD2,P617
E_THD2,P618
Km_THD2_h_c,P619
Km_THD2_h_e,P620
Km_THD2_nad_c,P621
Km_THD2_nadh_c,P622
Km_THD2_nadp_c,P623
Km_THD2_nadph_c,P624
Keq_THD2,P625
kcat_TKT1,P626
E_TKT1,P627
Km_TKT1_g3p_c,P628
Km_TKT1_r5p_c,P629
Km_TKT1_s7p_c,P630
Km_TKT1_xu5p__D_c,P631
Keq_TKT1,P632
kcat_TKT2,P633
E_TKT2,P634
Km_TKT2_e4p_c,P635
Km_TKT2_f6p_c,P636
Km_TKT2_g3p_c,P637
Km_TKT2_xu5p__D_c,P638
Keq_TKT2,P639
kcat_TPI,P640
E_TPI,P641
Km_TPI_dhap_c,P642
Km_TPI_g3p_c,P643
Keq_TPI,P644
kcat_GLCNt2r,P645
E_GLCNt2r,P646
Km_GLCNt2r_h_c,P647
Km_GLCNt2r_h_e,P648
Km_GLCNt2r_glcn_e,P649
Km_GLCNt2r_glcn_c,P650
Keq_GLCNt2r,P651
kcat_GNK,P652
E_GNK,P653
Km_GNK_6pgc_c,P654
Km_GNK_adp_c,P655
Km_GNK_atp_c,P656
Km_GNK_h_c,P657
Km_GNK_glcn_c,P658
Keq_GNK,P659
kcat_GLYCt,P660
E_GLYCt,P661
Km_GLYCt_glyc_e,P662
Km_GLYCt_glyc_c,P663
Keq_GLYCt,P664
kcat_GLYCDx,P665
E_GLYCDx,P666
Km_GLYCDx_h_c,P667
Km_GLYCDx_nad_c,P668
Km_GLYCDx_nadh_c,P669
Km_GLYCDx_glyc_c,P670
Km_GLYCDx_dha_c,P671
Keq_GLYCDx,P672
kcat_DHAPT,P673
E_DHAPT,P674
Km_DHAPT_dhap_c,P675
Km_DHAPT_pep_c,P676
Km_DHAPT_pyr_c,P677
Km_DHAPT_dha_c,P678
Keq_DHAPT,P679
kcat_G3PD2,P680
E_G3PD2,P681
Km_G3PD2_dhap_c,P682
Km_G3PD2_h_c,P683
Km_G3PD2_nadp_c,P684
Km_G3PD2_nadph_c,P685
Km_G3PD2_glyc3p_c,P686
Keq_G3PD2,P687
kcat_G3PT,P688
E_G3PT,P689
Km_G3PT_h2o_c,P690
Km_G3PT_pi_c,P691
Km_G3PT_glyc_c,P692
Km_G3PT_glyc3p_c,P693
Keq_G3PT,P694
kcat_GLYK,P695
E_GLYK,P696
Km_GLYK_adp_c,P697
Km_GLYK_atp_c,P698
Km_GLYK_h_c,P699
Km_GLYK_glyc_c,P700
Km_GLYK_glyc3p_c,P701
Keq_GLYK,P702
